gene_name	logFC	lfcSE	stat	pvalue	padj
KLF15	-1.07546017170583	0.166674838967849	-6.45244464230907	1.10060092308741e-10	1.65288378569127e-06
VGF	2.31364409614662	0.365268824209059	6.33408586444929	2.38752532961328e-10	1.65288378569127e-06
ADCYAP1	2.04665774816224	0.320943553229762	6.37700220978438	1.8058785646048e-10	1.65288378569127e-06
SLC6A9	-1.10160472850401	0.188563774258611	-5.84208039341207	5.15529151699497e-09	2.14140499032937e-05
NRN1	1.27783551884339	0.221191332336721	5.77705964037563	7.60173462277213e-09	2.63134043967257e-05
SGO1	-1.96713839951762	0.346833260208752	-5.67171210262142	1.41377421212844e-08	3.108877963484e-05
NEUROD6	1.79534930083965	0.314438227975182	5.70970429518306	1.13172633807722e-08	3.108877963484e-05
PRKX	-1.01782748683176	0.179750852722452	-5.66243481694833	1.49240074313728e-08	3.108877963484e-05
PRMT8	1.34226716605346	0.237069245661268	5.66192026430681	1.49688379964563e-08	3.108877963484e-05
PPEF1	1.81844574828459	0.323140937052165	5.62740754815302	1.82938154032996e-08	3.16620210092608e-05
RPH3A	1.41276501745064	0.250522361167389	5.63927711230009	1.70765532478603e-08	3.16620210092608e-05
PCSK1	1.91070680780589	0.343061106706492	5.56958154233615	2.55351864018665e-08	3.78814490271689e-05
JADE3	-1.01515944152824	0.182218372709656	-5.57111462709515	2.53114719610957e-08	3.78814490271689e-05
C3orf80	1.38070102007367	0.251006990194913	5.50064768714817	3.78398644278252e-08	4.91185090188438e-05
MID1IP1	-1.29756699898714	0.241551441278546	-5.37180400215807	7.79528124820665e-08	7.39802563769291e-05
LOC102724596	-1.50434375266137	0.280325210764771	-5.3664233358009	8.03133142338978e-08	7.39802563769291e-05
DNAH11	-1.14518998929785	0.215141171100577	-5.32296995242478	1.02086613162453e-07	8.03355835369868e-05
GNRH1	-1.2975212719166	0.243567817506427	-5.32714578305226	9.97680869625958e-08	8.03355835369868e-05
MAS1	1.97071954566316	0.371520564273642	5.30446961803072	1.13001061019303e-07	8.38185370110681e-05
SOWAHB	1.52134143766441	0.287933914433108	5.28364795324532	1.26636499552244e-07	8.74270811127879e-05
FAM53B-AS1	-1.1774176474222	0.223624208092141	-5.2651618421252	1.40065911700467e-07	8.8152391518394e-05
MSC	1.31159887897532	0.249567253216533	5.25549270615778	1.47628704485549e-07	9.01794283370699e-05
MDH1B	1.1494152118273	0.221043546468794	5.19994919638862	1.99343005525704e-07	0.000105806101933309
CLDN15	-1.05754624513069	0.203892792895253	-5.18677600180793	2.13965827974335e-07	0.000105806101933309
CRH	2.49650141573624	0.479676952710244	5.20454735552885	1.94470030493458e-07	0.000105806101933309
FOXO4	-1.27173575639339	0.247012604311422	-5.14846503456173	2.62626728696808e-07	0.000114025507312849
ABCC12	1.64036910925119	0.317751544782699	5.16242685892522	2.43768633634226e-07	0.000114025507312849
TAC1	1.88605539837144	0.368003069828681	5.12510778578413	2.97367580058851e-07	0.000121098573926319
OTOGL	1.35691123229923	0.264658739663642	5.12702219478467	2.94360826688911e-07	0.000121098573926319
USP2-AS1	1.477922923494	0.28942898361916	5.10634043976293	3.28457710238432e-07	0.000128712041206453
GCNT4	1.21183826721339	0.238767909793885	5.07538164680295	3.8671900649514e-07	0.000143424411533885
BEX5	1.32815608965176	0.262217987463104	5.06508383540486	4.08220657752983e-07	0.000148742716506521
NPFF	-1.34132551693979	0.265695929950529	-5.04834800137715	4.45646826561165e-07	0.000154260649014147
CPM	-1.11154382573148	0.220871717153257	-5.03253128131482	4.84045592166454e-07	0.000162147466188792
ALOX12B	1.47944945632625	0.29379989352143	5.03556838838111	4.7643298941884e-07	0.000162147466188792
LINC01546	-1.85578130996199	0.371710060405402	-4.99255066687729	5.95870749909918e-07	0.000187509690983016
GJD2	2.09506953917398	0.422585140988423	4.95774540078156	7.13159337470569e-07	0.000221068750446661
MGC16025	-1.14748646055735	0.231773916740957	-4.95088695351273	7.38760097269661e-07	0.000225636889120494
FAM222A	-1.19410517522527	0.24246775516216	-4.92479989525479	8.44467255315045e-07	0.000250553434651974
LBX2	-1.40575540870382	0.286273843606926	-4.91052689617716	9.08319958741948e-07	0.000265702777790303
HSPB3	1.61414364366435	0.332372942422625	4.8564231248761	1.19525153966059e-06	0.000318258708041163
PCDHGC5	1.02256080319393	0.211397883314707	4.83713832494554	1.31721764956079e-06	0.000337744362515161
KRT5	2.39715814895127	0.495557108104767	4.83729949534794	1.31615040221091e-06	0.000337744362515161
STAT4	1.47384246473849	0.306115542542456	4.81466067517328	1.47450224282415e-06	0.000347999285013804
ANKRD18DP	1.37055947510181	0.284591688834829	4.815880185093	1.46552444163936e-06	0.000347999285013804
MCHR2	1.27363039944746	0.26424791171731	4.81983146496907	1.43679547728343e-06	0.000347999285013804
PNMA3	1.22115920279434	0.252912417047015	4.82838769662832	1.37642921454125e-06	0.000347999285013804
TNRC6C-AS1	-1.44732909759566	0.300557066426312	-4.81548850208285	1.46840219263479e-06	0.000347999285013804
OVOL3	-1.36492714129636	0.284181926870782	-4.80300473828864	1.56302185205491e-06	0.000360693342725872
C10orf62	-1.58952526532909	0.334546681212468	-4.75128092608277	2.02132075342351e-06	0.000446604369445244
PPFIBP2	-1.10134248782788	0.23191379030689	-4.7489305675634	2.04495128870664e-06	0.00044706940331735
LINC01561	-1.41220648343928	0.298031028670166	-4.73845454864428	2.15354317789208e-06	0.000461102456305572
MPO	1.8289875538494	0.387036215713434	4.72562380364839	2.29410013578966e-06	0.000476461657202155
NAP1L2	1.09693519642163	0.232704761070176	4.71384939172272	2.4308035914687e-06	0.000499855047437757
LOC100129316	-1.50385433592843	0.319896094027359	-4.70107126659636	2.58800164838367e-06	0.000516828906108465
IL1RL2	1.21590897442104	0.261046463443911	4.65782588425025	3.19566308601958e-06	0.000598089407553184
NAP1L5	1.06084969933503	0.228235741688551	4.64804369152075	3.35097945569339e-06	0.000615898162082266
STON1	-1.73917128131369	0.375361113997437	-4.63332832426953	3.59833172471217e-06	0.000649050613982688
ADRA2B	-1.29157157485704	0.278914509540308	-4.63070772827752	3.64417971340025e-06	0.000649050613982688
LINC01202	2.2017097431789	0.475591299247581	4.62941552266023	3.66699283407518e-06	0.000649050613982688
THCAT155	1.04429418904658	0.225634573654441	4.62825431463318	3.68761001733146e-06	0.000649050613982688
SST	2.12024738531604	0.458611727161964	4.62318615015975	3.77890318187329e-06	0.000653507361438847
NAT16	1.61422160551847	0.34927035703952	4.62169655392719	3.8061447530913e-06	0.000653507361438847
CHML	1.00084401883679	0.217168246715604	4.6086112218213	4.05367511227353e-06	0.000678957890377491
ZBBX	1.37659093096672	0.298508408075111	4.61156501367404	3.9964861987509e-06	0.000678957890377491
MSC-AS1	1.25083728334704	0.272147696682639	4.59617075064091	4.30326095459493e-06	0.000711840415398963
PAK1	1.14423273203203	0.249082888196887	4.59378297849017	4.35282068253976e-06	0.000711840415398963
VSNL1	1.2428469138518	0.272467028327043	4.56145802845548	5.07996315084826e-06	0.000787356378208713
FBLN7	1.40628271105852	0.308245726145419	4.56221316883753	5.06172170862191e-06	0.000787356378208713
