gene_name	logFC	lfcSE	stat	pvalue	padj
MTRNR2L10	-2.23159295280022	0.258628805179006	-8.62855531987498	6.21317469046891e-18	1.21187972337596e-14
INMT	-1.92058399205327	0.220856209684754	-8.69608327877528	3.43536358209258e-18	1.21187972337596e-14
PPIEL	-1.83617672782695	0.215421957061492	-8.52362847721609	1.54631082443424e-17	2.01071950870599e-14
RAB3B	-2.20470168585293	0.266235425159772	-8.28102302512842	1.22121571877488e-16	9.55594250050762e-14
IKZF3	-1.36687616137715	0.165068237212727	-8.2806734018467	1.2248067803778e-16	9.55594250050762e-14
GATM-AS1	-2.19162814325373	0.265733715304731	-8.24745983301543	1.61796855539227e-16	1.05194922243087e-13
PDE6A	-1.82834670421478	0.223478305351533	-8.18131630870737	2.80759843108965e-16	1.56463449709725e-13
MREG	-1.55689049278556	0.192363261450017	-8.09349187079624	5.79781664098929e-16	2.8271603395624e-13
IDS	1.32550479578762	0.164317105352845	8.06674869875119	7.21949358451051e-16	3.12924938590839e-13
LINC00649	-1.72791249615059	0.216214961715902	-7.99164166271247	1.33153594166865e-15	5.19432170844939e-13
METTL21A	-1.75770200424117	0.221427774251192	-7.93803762958481	2.05405029453614e-15	7.284409271805e-13
SLC43A2	1.7513792891031	0.222349269100023	7.87670360326323	3.36130994374516e-15	1.02822274092329e-12
EEF2K	-1.49826425890063	0.190272667353933	-7.87430102145807	3.42653053883689e-15	1.02822274092329e-12
FXN	-1.42538348296001	0.182717425194391	-7.80102653834773	6.14055962767256e-15	1.59695487383671e-12
ACBD7	-1.56397613895753	0.200357247351199	-7.80593744241304	5.90608727242955e-15	1.59695487383671e-12
IFNLR1	-2.10858216210419	0.271338765745653	-7.771031744431	7.78493838445028e-15	1.89806528985878e-12
ZNF483	-1.45666367780027	0.188452026514031	-7.72962596765609	1.07863029858597e-14	2.47513929104932e-12
FGF5	-1.90645505292351	0.246968957702034	-7.71941166477949	1.16867880498243e-14	2.53278667679803e-12
FBLIM1	-1.48098085380673	0.193032251326303	-7.6721938620675	1.69079145041929e-14	3.47146181478192e-12
ATP5E	-1.28514824765108	0.168291507403094	-7.63644147873057	2.23307686462868e-14	4.35561642445824e-12
MTRNR2L2	-1.52642317208309	0.200845279253189	-7.59999526879023	2.96141576484348e-14	5.50118233269258e-12
GNG4	-1.56656332413712	0.20660396212856	-7.58244569947948	3.39101024768801e-14	6.0128777164686e-12
LOC284260	-1.70285195927389	0.228515456704679	-7.45180209614687	9.20737732529352e-14	1.54587995186131e-11
CCL5	-1.37715362955791	0.184914238366066	-7.44752617065443	9.51066876305342e-14	1.54587995186131e-11
GLIPR1L2	-1.42336324139967	0.19149696183847	-7.4328241437078	1.06303190007202e-13	1.59495670853113e-11
