gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
CD6	-1.02740365544447	11.4231915710964	-8.72238262009547	1.91543151980597e-12	7.93031214344558e-10	18.0915408157997
PDK4	1.00832610968566	9.38503187328978	8.50524263272136	4.57748666050107e-12	1.39643697974522e-09	17.2465560374145
ARG1	1.58553237197148	9.46287600145917	8.12110869427457	2.1479616088801e-11	3.74006287243413e-09	15.7466640210991
MAL	-1.04868320208239	11.3128231452023	-7.90448355019917	5.14536983467813e-11	7.43127018526266e-09	14.8989584037275
FAIM3	-1.00085969093736	11.9081221933859	-7.69880966971067	1.17992351971364e-10	1.43680752260032e-08	14.0935743039688
IL7R	-1.05865788100153	12.5975469953292	-7.23264127788643	7.73288147883657e-10	5.80932721097597e-08	12.2694137261802
IQGAP1	1.00753825697805	10.93204338415	7.10640286982602	1.28539493406526e-09	8.70843382420722e-08	11.7764878905156
CCR7	-1.22546543773706	11.831055671141	-6.73718561904879	5.65635625967766e-09	2.73723567465076e-07	10.3398372309463
MMP9	1.19971289688062	11.770818105139	5.62572845715708	4.51259609645152e-07	9.34157531922092e-06	6.10420651525925
CA4	1.02844328366208	10.6140995707155	5.1959986815558	2.32225804632109e-06	3.56098680337516e-05	4.52682471598293
ACSL1	1.0048789881771	12.2466746410318	5.00826666511439	4.68600417576516e-06	6.36797547765724e-05	3.852719930662
S100A12	1.15540415604117	13.0042051912378	4.91373567011623	6.64937531955224e-06	8.51897523403203e-05	3.5171990965693
FOLR3	1.02252980388399	11.4682040121126	4.51506426474831	2.82461714192476e-05	0.000287256779318779	2.13456438149146
LY96	1.02458549775639	12.4732450922336	4.39063464022778	4.3890668140556e-05	0.00041508986706939	1.71483659471369
BNIP3L	1.05007733394892	9.68750948349957	4.30377851545965	5.95050262748225e-05	0.000536351303592752	1.4254935844666
APOBEC3A	1.26671683422987	10.5232537712725	4.10169929998442	0.000119472461565242	0.000976478261951447	0.764588308252143
ORM1	1.10439734005187	10.0757605703439	4.04392632649481	0.000145383347156079	0.00115212128492765	0.578949510100029
FCGR3B	1.15956899039622	12.2346578661647	3.75042581851979	0.000385514404575379	0.00261319517856915	-0.339717469577739
FTHL3	1.06418340250299	11.9874977017509	3.09983743485353	0.00289064437661223	0.0139775747159778	-2.21183557445736
FTHL11	1.11505113218285	11.5675864817196	3.01402481291565	0.00370765981383779	0.0171553301698903	-2.43986181320675
FCGR3A	1.09755970948007	10.0846946193934	2.7003242732964	0.00887935830847509	0.0353334738669798	-3.23188414143542
