"Covid_SD"	"Covid_HS"	"Covid_AD"	"Covid_EP"	"Covid_PD"	"Covid_IS"
"CEACAM1"	"BHMT2"	"BAAT"	"SMYD3-IT1"	"FOSB"	"ARG1"
"FABP5"	"EMP2"	"IGF1"	"LAMA3"	"FOS"	"ACSL1"
"FOS"	"FOSB"	"AZGP1"	"HNRNPCP6"	"EGR1"	"IQGAP1"
"APOM"	"PPIL6"	"VNN1"	"MEG3"	"ID3"	
"CAVIN2"	"HEXIM1"	"SERPINF2"	"SUSD2"	"KLF4"	
"BRF2"	"SPRYD7"	"ADORA2A-AS1"	"HLA-DRA"	"TSPAN13"	
"MYADM"	"PBXIP1"	"AMIGO2"	"AKT3-IT1"	"GNG7"	
"TMEM176A"	"INMT"	"PCSK6"	"CAPG"	"DUSP1"	
"ASGR1"	"SLC25A15"	"MUC3A"	"CRYZ"	"BANK1"	
"CHI3L1"	"ZNF440"	"MDH1B"	"LAMA5"	"STAB1"	
"BAG1"	"PTPN14"	"NGFR"	"AOC3"	"CD19"	
"LRG1"	"INSIG1"	"FOXO4"	"LIMS2"	"MS4A1"	
"DESI1"	"RPS16"	"LCN2"	"CASQ2"	"CD79A"	
"CPA3"	"TTC39C"	"HIPK2"	"ADIRF-AS1"		
"SAC3D1"	"TMEM45B"	"PTPRQ"			
"DGAT2"	"RAB11FIP4"	"KMO"			
"TMEM45B"	"SOD2"	"CPM"			
"TMEM176B"	"WDR17"	"HMGCS1"			
"PRDX5"	"ITIH5"	"FMO3"			
"CDA"	"PTMA"	"SLED1"			
"FOXO4"	"S100A4"	"OLAH"			
"HMGN3"	"MAPK14"	"CLMN"			
"LCN2"	"SURF4"	"IP6K3"			
"SLC43A1"	"CD177"	"IL1RL2"			
"HEY1"	"SLC22A18"	"ANKRD22"			
"DANCR"	"IBA57"	"NAP1L5"			
"MAPK14"	"DNAL1"	"RASGRP3"			
"MT1F"	"TYW5"	"DTHD1"			
"CAVIN3"	"FAM174A"	"SFRP1"			
"TMEM140"	"SMARCA5"	"BEX5"			
"GLT1D1"	"KIF3A"	"G0S2"			
"SNCA"	"MSMO1"	"MAMDC4"			
"SLC22A18"	"THBD"	"HIP1"			
"RPIA"	"PXMP4"	"MIR2467"			
"LGALSL"	"FKBP8"	"LLGL2"			
"TUBB4B"	"VPS37B"	"KRT19"			
"ALDOC"	"PCDHB9"	"PCSK1"			
"RMDN3"	"SPRED1"	"MSC-AS1"			
"SHMT2"	"PNPO"	"SMIM5"			
"PLEKHF1"	"GPLD1"	"GIPR"			
