gene_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
TLR10	1.49473220096578	6.73651781108301	13.7791777421967	1.55116529774329e-08	0.000171915649948888	9.15660084772896
OSBPL10	2.03713343510097	6.94521203062314	10.7551471513582	2.24947719901478e-07	0.00124654778983404	7.11228018266141
SNORA28	-1.45143625668454	6.34290639992098	-8.47835732401495	2.64415554999635e-06	0.00528036126398693	5.01714407389818
FOS	-2.42616233971455	10.8267634943605	-8.4129956895796	2.85862740989999e-06	0.00528036126398693	4.94811075052095
FCRLA	1.80429896385283	9.27850187422595	7.76515530196017	6.34951113029181e-06	0.00581172026944374	4.23348752059074
PDXDC2P	-1.02167073769041	8.38105889116899	-7.69689616890678	6.92545692717637e-06	0.00581172026944374	4.15487538385762
CD24	1.67471537585953	9.18627339668755	7.66439372969622	7.21914989483141e-06	0.00581172026944374	4.11721456193672
ABCA7	-1.00685252567922	8.11427333274282	-7.62258577517125	7.61669499329607e-06	0.00581172026944374	4.06855329180853
PTPRC	1.17361133696842	6.4501096359256	7.58808921660861	7.96237682954261e-06	0.00581172026944374	4.02821641805835
LOC90925	1.81811973128643	7.38587120456017	7.52965468922079	8.58685262765157e-06	0.00581172026944374	3.95950424304271
SNX29	-1.30046494857149	6.14456985731864	-7.50079055398879	8.91448566097119e-06	0.00581172026944374	3.92538414339086
FOSB	-3.18702769303404	7.44556837913089	-7.28390460683005	1.18489479679274e-05	0.00695982083557725	3.66517205443665
JUP	-2.2119863161153	7.83631009569495	-7.2568564371052	1.22819086850827e-05	0.00695982083557725	3.63224166926264
AMFR	1.52172527176891	8.23395022540491	7.09631495826279	1.52258509898027e-05	0.00758383814920261	3.4345710164753
POU2AF1	1.13541135133309	6.4838294614926	7.08755545959208	1.54068231972693e-05	0.00758383814920261	3.42367585463096
EGR1	-2.20292158169367	8.49144148779505	-7.03651828035042	1.65080184681016e-05	0.00758383814920261	3.35996768117923
C16orf7	-1.02458906881588	7.777343713364	-6.98144915692533	1.77911929873922e-05	0.00758383814920261	3.29078931370345
MS4A1	1.51343299171586	7.85830677515454	6.93410581250201	1.8979622296038e-05	0.00779078347803666	3.23095164847492
TBC1D10B	-1.04268344239298	7.53153744069579	-6.8396793609557	2.16107041551214e-05	0.00805519291517563	3.1105930362625
KLF4	-1.03307032453681	8.41694848682098	-6.83322672121005	2.18041854601885e-05	0.00805519291517563	3.10231889294956
CXCR4	1.36681113328955	9.28947963277297	6.5936823623	3.04721890899747e-05	0.00952356483024096	2.79063810848096
STAB1	-1.12176997381662	8.24785399698315	-6.5568650397679	3.21022315872131e-05	0.00952356483024096	2.74194822526052
AL359560	-1.37323853215899	7.59106052754941	-6.52658487202904	3.35124991770638e-05	0.00952356483024096	2.70174556363915
LOC728153	-1.38785922503838	7.83989784045525	-6.42981007184003	3.8480096333013e-05	0.0106618726914696	2.57229911938399
RRP12	-1.2117454378907	7.29162078044823	-6.233672689459	5.111829998946e-05	0.0133337775589564	2.30543212183325
LOC338817	-1.04772284268299	6.05290877393719	-6.15037078115207	5.77626327536989e-05	0.0133371512251926	2.19024985926232
POU2F2	-1.0019938816079	6.35700816477401	-6.03884149727708	6.81315342226695e-05	0.0145211883421124	2.03430938761469
BANK1	1.35873322717451	7.25567421842459	5.92061079772357	8.13153804396258e-05	0.0150619126809276	1.86683143941559
E2F5	1.00504606092153	7.49562697625384	5.87538876226106	8.70523188308158e-05	0.0150619126809276	1.80218174130778
RP2	1.07128547386843	5.80624569322472	5.87255406874564	8.74259560552907e-05	0.0150619126809276	1.79811834239211
MOV10	-1.12724239622012	7.65843209272541	-5.83582189412536	9.24244916824312e-05	0.0150619126809276	1.74534814226996
TSPAN13	1.21152828867555	7.43396909130787	5.78827664566243	9.9349023322813e-05	0.0150619126809276	1.67672276160307
WARS	-1.0764815969932	10.5749120877483	-5.78228551728186	0.000100259856309876	0.0150619126809276	1.66804965727848
CD79A	1.50881045175388	8.49670603039155	5.7697613335019	0.000102192636105831	0.0151013464794791	1.64990034992291
SF3A1	1.12246130766399	7.310410674789	5.68446626592286	0.000116452688051436	0.0157748738254647	1.52562755635115
TNFAIP2	-1.40133904629837	8.17580368855101	-5.61853939455355	0.000128914580519815	0.0166134918128036	1.42877567492403
ID3	1.00873670554462	7.36374450987485	5.54000237668762	0.000145628738214027	0.0177363000618249	1.31249143186009
LOC284837	-1.06175596321113	7.26939484168232	-5.3861785300312	0.000185371168388063	0.0210910968519131	1.08188673205481
BLK	1.63094490867404	7.53608532169781	5.30767018032315	0.000209936098367124	0.0215437201685448	0.962744505734801
NAG8	-1.1071955090285	7.29902603522334	-5.27450525188159	0.000221325468236444	0.0219013407541474	0.912122162265451
AK129699	-1.24587410907975	8.77299330307465	-5.24089558714153	0.000233535088204632	0.0225066902832342	0.860644631405909
ATG16L2	-1.05440214045111	8.84927766317274	-5.21832743724341	0.000242130976553632	0.0227418441791856	0.825979233968503
GNG7	1.07428575462444	7.60082952420196	5.15296501568081	0.000268962523735611	0.0234738185766712	0.725131729737861
