"id"	"logFC"
"NRN1"	1.27783551884339
"PCSK1"	1.91070680780589
"MDH1B"	1.1494152118273
"FOXO4"	-1.27173575639339
"USP2-AS1"	1.477922923494
"BEX5"	1.32815608965176
"CPM"	-1.11154382573148
"STAT4"	1.47384246473849
"IL1RL2"	1.21590897442104
"NAP1L5"	1.06084969933503
"MSC-AS1"	1.25083728334704
"ADCY10P1"	-1.01437023544156
"HIP1"	-1.07506920177202
"DTHD1"	-1.50868068286922
"HMGCS1"	1.0447736586777
"SERPINF2"	-1.28446036488238
"LLGL2"	-1.0030550545131
"KMO"	1.16838050031796
"BAALC-AS1"	1.30244927659905
"IGF1"	1.09955992981941
"PRSS8"	-1.09909610100805
"MAMDC4"	-1.20876972749788
"OLAH"	-1.48691953824983
"ABCA6"	-1.16398991474075
"AMIGO2"	1.00742202288428
"SMIM5"	-1.19650797694413
"SELE"	2.35054173273683
"NGFR"	-1.54303610225891
"CLMN"	-1.1141010122012
"SH2D3A"	-1.4168260744279
"MUC3A"	1.2683248276587
"MIR2467"	-1.07323979045607
"FMO3"	-1.05354487814013
"VGLL3"	-1.02785726880141
"ZNF90"	-1.02782357365186
"HIPK2"	-1.10172083622309
"KRT19"	-1.24047323136296
"TFCP2L1"	-1.10841250434479
"ANKRD22"	2.03137034882135
"TPTEP1"	-1.1078093002314
"MUC16"	1.85759420647742
"AZGP1"	-1.21152663755127
"SLED1"	-1.01086582706271
"SELENOP"	-1.07198779272579
"SFRP1"	-1.24756178699887
"G0S2"	-1.12526796931015
"ADORA2A-AS1"	-1.18375852981631
"IP6K3"	-1.60707586822876
"LCN2"	2.57197844301691
"SPTBN5"	-1.05255696005736
"VNN1"	-1.88859829650767
"PKHD1L1"	-1.64141665668782
"CR1"	-1.08148574479322
"PTPRQ"	1.0358841762745
"RAB3C"	1.00134449718396
"SFTPA2"	1.13607683850519
"CD22"	-1.25109532986927
"PCSK6"	-1.16918119272633
"KCNJ15"	-1.23454106710189
"BAAT"	1.10464219280346
"RASGRP3"	-1.0562347425939
"GIPR"	-1.16531872741446
