"id"	"logFC"
"INMT"	-1.92058399205327
"RAB3B"	-2.20470168585293
"EEF2K"	-1.49826425890063
"FXN"	-1.42538348296001
"ACBD7"	-1.56397613895753
"ZNF483"	-1.45666367780027
"PRELP"	-1.789813961332
"PPIL6"	-1.73814241256707
"CYP4V2"	-1.16504913214251
"NXN"	-2.2289381806865
"SPRED1"	-1.82623444326879
"PTPN14"	-1.39218631814826
"ZNF713"	-1.35245090400511
"TFDP2"	-1.06645682604411
"NCMAP"	-1.21889210067834
"PXMP4"	-1.05243310983165
"PNPO"	-1.25688554169863
"SCD5"	-1.09957169462086
"PNMA2"	-1.68922510947352
"EMP2"	-1.09143349364817
"SCAI"	-1.17420726776021
"EXPH5"	-1.16388050349824
"DNAL1"	-1.00915841444345
"TRIM65"	-1.34927503929659
"CHRNB1"	-1.305448004033
"IBA57"	-1.13733418566498
"GDPD1"	-1.01593132271234
"KCNJ5"	-1.67516976079295
"PLEKHH2"	-1.89409941920002
"AK3"	-1.46114679770138
"UBL5"	-1.02423287662219
"SLC4A8"	-1.31395981670713
"ZNF714"	-1.29591054737707
"WDR17"	-1.15857997713764
"TYW5"	-2.50135582851087
"PCDHB9"	-1.11368485839958
"FKBP8"	1.38165262864054
"HEXIM1"	1.8318734647641
"DUSP19"	-1.2346042989264
"BHMT2"	-1.12802343985693
"GNPNAT1"	-1.37614470650702
"THBD"	3.02861487496787
"SLC25A15"	-1.25218955938877
"LRIF1"	1.9103952280494
"FLNA"	3.1957716391234
"TNFAIP6"	1.47105410434633
"COX7B"	-1.03614930779317
"GPLD1"	-1.21333999723784
"CD177"	-2.54180899596558
"TRIM59"	-1.28129690483973
"ABHD2"	1.01747640272763
"ITIH5"	-1.27564943373293
"TPM4"	2.57154279042959
"IL1RAP"	1.94463064114354
"HCAR2"	1.63565731850686
"TTC39C"	-1.01041691707137
"CEBPD"	-1.44006129386463
"KIF3A"	-1.29217882632252
"MAPK14"	-1.53742611536084
"AXL"	-1.07671515676841
"FGL2"	2.3771852693757
"SURF4"	1.56309770317593
"ROMO1"	-1.26659928133553
"PTMA"	1.94293129575864
"RAB11FIP4"	1.27257898147413
"SOD2"	1.08467030183669
"TIMP1"	2.27713894651004
"SLC22A18"	1.41380446289797
"LPCAT1"	2.97575401595345
"NPC2"	1.27453803915581
"INSIG1"	2.45248648278429
"SPRYD7"	-1.08668998811339
"SMARCA5"	1.31369082413621
"FOSB"	1.5053155400883
"TM9SF1"	1.29840153597732
"HMGN2"	1.01677127255774
"CSRNP1"	1.25910247494672
"NLN"	-1.57393530774844
"TREM1"	1.04279875121768
"PPIF"	1.80101845026569
"APLP2"	1.63735636994066
"PGK1"	1.34424693450146
"VPS37B"	1.09990963747237
"H6PD"	-1.48396935693788
"LDHA"	2.17231140232481
"TMEM45B"	1.51186117956666
"PBXIP1"	1.38800568219593
"KDELR2"	1.22472494428574
"SH3BP5"	1.41422360915298
"GAPDH"	1.62551838865484
"RPS16"	1.16815647719865
"SLC26A8"	-1.51858667758315
"LILRA3"	1.34414282560522
"IFIT2"	1.36890713706566
"DMXL2"	1.11797741358361
"ZNF440"	-1.31250291885266
"SERTAD1"	1.22028769153942
"MSMO1"	-1.31827627001628
"CPD"	1.36398809483784
"IRAK3"	-1.10343285499417
"SIGLEC10"	1.11731089085799
"HIF1A"	1.14020890509518
"FAM174A"	1.03503481852744
"SESN2"	1.64971839017541
"S100A4"	-1.129838013464
"RGS2"	1.09079962003854
"QSOX1"	1.06506501946724
"KCNE3"	-1.04701576818572
"SLC20A1"	1.16934383674381
"GADD45B"	1.43242455611626
