"id"	"logFC"
"TMEM176A"	3.36084827953356
"TMEM176B"	2.1809798360546
"CHP1"	1.38078209764565
"APOM"	1.14107141661653
"HLA-DQA1"	4.10247596544188
"HLA-DQB1"	2.34989983134383
"EEF1AKMT3"	1.95769578501031
"ELAPOR1"	1.68288430397789
"C4BPA"	4.1358921439484
"PKIG"	1.55754086049407
"IL1RAP"	1.33055556261202
"DHFR2"	-1.32767533102611
"MIX23"	-2.56106302106254
"RAMP2-AS1"	-1.37811026698294
"ACADVL"	1.05912741337641
"NIPSNAP1"	1.10653189237816
"BRF2"	1.00908965199476
"HOMER1"	-1.03583752752911
"CAVIN3"	1.30220424854142
"RANGRF"	1.0781267842187
"POLDIP2"	1.37476063835602
"DESI1"	1.49745790917454
"ALDOC"	2.19810807276651
"ORAI3"	1.2054737841011
"CAPG"	2.03452957780151
"LILRA3"	-2.25618546132047
"USP30"	1.06700660343964
"RMDN3"	1.12190589352979
"TAGLN2"	1.86930904741407
"PRDX6"	1.03373536338948
"RASEF"	-1.64683677945168
"TSPAN33"	1.82474903954275
"TUBB4B"	1.709434530609
"PELI3"	1.31800234659752
"TIMP1"	1.35653196700441
"HEY1"	-2.37229951815285
"MLLT11"	1.02580915011465
"GNAZ"	1.22653281533102
"VAT1"	1.17822407631742
"ZNF213"	1.7090457476104
"SH3GLB2"	1.20156229381058
"HSP90AA1"	-1.80736093341475
"CHMP6"	1.2549249905153
"LGALSL"	1.09386225229779
"PPM1M"	1.06104272016891
"TRAPPC1"	1.75210757918468
"CAPN12"	1.07039318134065
"MAPK14"	1.362137810913
"PPP1R15A"	1.86007127720457
"VKORC1"	1.28414247203735
"ARHGAP6"	1.17457430911241
"NRGN"	2.63824324271879
"RTL6"	1.15096758436536
"TSPAN2"	1.07635245084143
"TST"	1.75696246227221
"GCDH"	1.03601512693475
"NELFE"	1.02889600878124
"CPA3"	3.99546820466107
"B9D2"	1.03458480277126
"MYADM"	1.31366807566512
"CD19"	1.18866175559603
"PLA2G15"	1.06014194747624
"SURF2"	1.19848119425774
"FKBP8"	1.87808188154821
"TMEM140"	2.02920891013145
"NINJ1"	1.35519191360555
"SHMT2"	1.06423531088591
"AGAP9"	-1.33251155514962
"FOS"	1.76145747433612
"BCKDK"	1.30015318996596
"MXI1"	1.81778082811496
"AIFM1"	1.02647556711424
"SMIM5"	2.85342865096467
"TFEB"	1.00829703897073
"BAG1"	1.91935348887327
"MPND"	1.47356270360149
"HSPB1"	1.78845113384798
"BANF1"	1.1751231754195
"LTBP2"	1.43031440397364
"TMEM86B"	2.42122533008552
"GIMAP7"	-1.57172584344988
"C6orf136"	1.18817602501317
"CDCA4"	1.3024095925113
"PGRMC1"	1.17316864947604
"PCK2"	1.1023840208776
"ALAS1"	1.51382333188053
"TUBB6"	1.29011909195845
"ABCG1"	1.05465044233141
"ASGR1"	1.1002941566025
"SAC3D1"	1.02861033291083
"CHPT1"	1.06241677177976
"FABP5"	-1.09995301121089
"LILRA1"	1.11613922483981
"TGM2"	1.51478409973108
"GALNT6"	1.10747026044992
"TMEM45B"	1.44310974636388
"CDA"	1.66288547297193
"LSP1"	1.10858842598516
"GUCD1"	2.25917480903309
"INAFM1"	1.63370526788305
"STRADB"	2.30510760824888
"DCXR"	1.38796724202827
"CR1L"	2.89329504608686
"CRYL1"	1.05794186229001
"MST1L"	-1.35425247918323
"MT1X"	1.17453391378381
"PRKAR2B"	1.53573154111351
"ROPN1L"	1.16722896248879
"SIGLEC10"	1.13834930219111
"CLU"	1.20451045151554
"KCNE3"	1.10863047049334
"SLC43A1"	1.00261171255717
"CHI3L1"	1.03345736616307
"LBH"	1.00228409838871
"FRMD3"	1.24209141011269
"TMOD1"	3.09418771408987
"ABHD2"	1.16784842090058
"MT1F"	1.13495684728205
"TRIM58"	3.14198366856137
"PNPLA6"	1.24441824536068
"POR"	1.36048920449878
"CAVIN2"	1.55599715310627
"PRDX5"	1.04072053538494
"NOP2"	1.03756746602264
"CCR1"	1.38717894298121
"DANCR"	1.06620189864501
"PLEKHF1"	1.02111320257108
"ANKRD55"	1.45101775438208
"GLT1D1"	1.08583698880247
"SLC27A3"	1.17581987125899
"CSRNP1"	1.19818240157651
"CFP"	1.02974383538968
"DHRS13"	1.11223794782854
"PFDN4"	-1.17083919090788
"HMGN3"	-1.04622123264707
"HSPE1"	-1.06430044977027
"YBX3"	1.06046842657735
"DGAT2"	1.17357627961619
"LRG1"	1.53713238010204
"PCTP"	1.22027744337095
"SMIM30"	-1.08835349729933
"FOXO4"	1.33605109410213
"SLPI"	1.39799065283494
"WLS"	1.37554417578745
"PCED1B"	1.08688173184928
"PLEK2"	2.53968551159079
"TNFAIP6"	1.60186049308597
"SNRPD1"	-1.18568394491982
"CEACAM1"	1.07305197153811
"LCN2"	2.40730681245814
"SLC22A18"	1.03618140377557
"MX1"	1.30752132617541
"EPHX2"	1.0624913695045
"RPIA"	1.01743185469605
"SNCA"	1.49055675002295
"IFI35"	1.2821145229736
