"Covid-19"	"SD"	"HS"	"AD"	"EP"	"PD"	"IS"	"Imm"
"SNORA74B"	"MLH3"	"MTRNR2L10"	"KLF15"	"FREM1"	"TLR10"	"CD6"	"IL6R"
"ALB"	"TMEM176A"	"INMT"	"VGF"	"SUSD2"	"OSBPL10"	"PDK4"	"HLA-DQA1"
"APOB"	"SCGB3A1"	"PPIEL"	"ADCYAP1"	"FRAS1"	"SNORA28"	"ARG1"	"HLA-DQB1"
"SAA2"	"TMEM176B"	"RAB3B"	"SLC6A9"	"ERICH1-AS1"	"FOS"	"MAL"	"ITGB2"
"ORM2"	"HSPC102"	"IKZF3"	"NRN1"	"RP11-627G23.1"	"FCRLA"	"FAIM3"	"CD19"
"VTN"	"CHP1"	"GATM-AS1"	"SGO1"	"CTD-2047H16.4"	"PDXDC2P"	"IL7R"	"CD22"
"HPD"	"NATD1"	"PDE6A"	"NEUROD6"	"COLQ"	"CD24"	"IQGAP1"	"MS4A1"
"TF"	"APOM"	"MREG"	"PRKX"	"MIR143HG"	"ABCA7"	"CCR7"	"CCR5"
"DPYS"	"LOC101928343"	"IDS"	"PRMT8"	"AC131025.8"	"PTPRC"	"MMP9"	"ZAP70"
"APOA1"	"PRR11"	"LINC00649"	"PPEF1"	"RBPMS"	"LOC90925"	"CA4"	"TUBB"
"HGD"	"CUTALP"	"METTL21A"	"RPH3A"	"MUC19"	"SNX29"	"ACSL1"	"PAX5"
"CYP2E1"	"HLA-DQA1"	"SLC43A2"	"PCSK1"	"LAMA5"	"FOSB"	"S100A12"	"POLR1B"
"APOH"	"ACSM2A"	"EEF2K"	"JADE3"	"TTC21A"	"JUP"	"FOLR3"	"TNFRSF13C"
"BAAT"	"SMAGP"	"FXN"	"C3orf80"	"CTD-2349P21.5"	"AMFR"	"LY96"	"ZBTB16"
"CEACAM1"	"HLA-DQB1"	"ACBD7"	"MID1IP1"	"LIMS2"	"POU2AF1"	"BNIP3L"	"CD79A"
"GDA"	"PSME3"	"IFNLR1"	"LOC102724596"	"IQCJ"	"EGR1"	"APOBEC3A"	"IRF5"
"SNORD17"	"CDK5"	"ZNF483"	"DNAH11"	"ANKRD19P"	"C16orf7"	"ORM1"	"AICDA"
"IGF1"	"EEF1AKMT3"	"FGF5"	"GNRH1"	"MIR145"	"MS4A1"	"FCGR3B"	"IL1RL2"
"ABCB4"	"CD99P1"	"FBLIM1"	"MAS1"	"HSPG2"	"TBC1D10B"	"FTHL3"	"CX3CR1"
"RPS2P36"	"HNRNPH3"	"ATP5E"	"SOWAHB"	"COL14A1"	"KLF4"	"FTHL11"	"CCR1"
"SLC39A14"	"INSIG1-DT"	"MTRNR2L2"	"FAM53B-AS1"	"AC093642.3"	"CXCR4"	"FCGR3A"	"IL12B"
"RN7SKP9"	"MICU1"	"GNG4"	"MSC"	"MIAT"	"STAB1"		"IL1RAP"
"BHMT2"	"SIGLEC9"	"LOC284260"	"MDH1B"	"FAM118A"	"AL359560"		"FCER1A"
"ARG1"	"SLC24A3"	"CCL5"	"CLDN15"	"AKT3-IT1"	"LOC728153"		"C4BPA"
"CAV1"	"SERPINB9P1"	"GLIPR1L2"	"CRH"	"RP4-673D20.3"	"RRP12"		"HLA-DRA"
"EMP2"	"CCEPR"	"PRELP"	"FOXO4"	"CASQ2"	"LOC338817"		"LAG3"
"TFR2"	"LOC100996756"	"SIX4"	"ABCC12"	"RP4-555D20.2"	"POU2F2"		"C2"
"PROC"	"SLC22A3"	"CSDE1"	"TAC1"	"MYOCD"	"BANK1"		"CD1A"
"FOSB"	"LINC02802"	"C21orf62"	"OTOGL"	"RP11-159D12.2"	"E2F5"		"NOS2"
"HIRIP3"	"SIRT6"	"TMEM154"	"USP2-AS1"	"CAPG"	"RP2"		"EBI3"
"SLC38A4"	"ORM1"	"LOC286186"	"GCNT4"	"RP6-99M1.2"	"MOV10"		"STAT1"
"UPB1"	"DEPDC5"	"CACNG8"	"BEX5"	"GAPDHP66"	"TSPAN13"		"PDCD1"
"SLC51A"	"TRIB3"	"C4orf26"	"NPFF"	"FGF14-IT1"	"WARS"		"IL4"
"LMO7"	"SLC10A3"	"VSIG1"	"CPM"	"AC144833.1"	"CD79A"		"BST2"
"PLAC9"	"SENCR"	"MOG"	"ALOX12B"	"ROCK1P1"	"SF3A1"		"IFIH1"
"PTPN21"	"ATP8B1"	"UBE2Q2P1"	"LINC01546"	"C20orf203"	"TNFAIP2"		"GP1BB"
"CYP2C18"	"ELAPOR1"	"CCDC122"	"GJD2"	"HNRNPCP6"	"ID3"		"IL22RA2"
"LEAP2"	"RITA1"	"PAK1"	"MGC16025"	"RP11-989F5.3"	"LOC284837"		"THY1"
"AK4"	"MAX"	"PPIL6"	"FAM222A"	"CRYZ"	"BLK"		"LILRA6"
"PDCL"	"CASTOR3"	"ELMOD1"	"LBX2"	"COPS8P2"	"NAG8"		"CCL15"
"TMEM87A"	"C4BPA"	"CYP4V2"	"HSPB3"	"AOC3"	"AK129699"		"SERPING1"
"C4BPB"	"KHNYN"	"NXN"	"PCDHGC5"	"ZNF410"	"ATG16L2"		"KIR_Activating_Subgroup_1"
"AGMAT"	"ANKRD36B"	"ZFP42"	"KRT5"	"MIR770"	"GNG7"		"CCBP2"
"LIMCH1"	"PKIG"	"SPRED1"	"STAT4"	"CEACAM19"	"P2RX1"		"GNLY"
"FNDC4"	"LOC105371215"	"MIR143HG"	"ANKRD18DP"	"FOXL1"	"KLHL14"		"GBP1"
"CAB39L"	"CMAS"	"ZYG11A"	"MCHR2"	"RP11-379B18.5"	"MDFIC"		"C8B"
"TDO2"	"ZNF595"	"TBXA2R"	"PNMA3"	"PVT1"	"CD1C"		"SOCS1"
"SCN4B"	"ARF3"	"KIAA1456"	"TNRC6C-AS1"	"ADIRF-AS1"	"CPT1B"		"KIR_Activating_Subgroup_2"
"PRSS12"	"IL1RAP"	"ZNF665"	"OVOL3"	"RP11-981G7.2"	"ZNF679"		"IL18RAP"
"PTPRH"	"NCR3"	"MTRNR2L4"	"C10orf62"	"RP11-54A4.2"	"DUSP1"		"IL18R1"
"TPST1"	"AGPAT1"	"PJA2"	"PPFIBP2"	"GJA6P"	"PARP12"		"KLRB1"
"GJB2"	"DHFR2"	"LOC283335"	"LINC01561"	"SCUBE3"	"X69637"		"CEACAM1"
"TMSB4X"	"LRRC42"	"HTRA4"	"MPO"	"RP11-768G7.2"	"MORC3"		"IRF7"
"AKR7A3"	"ACTR1B"	"IRF2BPL"	"NAP1L2"	"SLC25A34"	"CD19"		"IFI35"
"PON1"	"BEND2"	"LOC100287314"	"LOC100129316"	"AC019118.2"	"ERAP2"		"KLRC1"
"SCARNA5"	"ELOA-AS1"	"FKBP14"	"IL1RL2"	"AC011747.4"	"STAT2"		"ITLN2"
"MTCO3P23"	"MIX23"	"LOC90834"	"NAP1L5"	"H3F3AP4"	"STAP1"		"CCL8"
"F5"	"ELP5"	"LOC100129269"	"STON1"	"LINC00599"	"TYMP"		"MX1"
"AMDHD1"	"DUBR"	"AP1S3"	"ADRA2B"	"RP11-509E10.1"	"SAMD9L"		"CLEC5A"
"FGG"	"UGT2B28"	"LOC100288069"	"LINC01202"	"VWCE"	"VPREB3"		"CXCL10"
"AHNAK"	"LOC100289333"	"BVES"	"THCAT155"	"BTBD19"	"FCRL5"		"IFIT2"
"ONECUT2"	"ENTPD1-AS1"	"CEP41"	"SST"	"CTD-2281E23.2"	"BBS10"		"CTSG"
"RTKN2"	"RAMP2-AS1"	"PTPN14"	"NAT16"	"RP11-535M15.2"	"AK024852"		"LILRA3"
"PFKFB1"	"DYNLL2"	"ZNF713"	"CHML"	"RP11-981G7.1"	"GABBR1"		
"SDS"	"MRPL49"	"AFMID"	"ZBBX"	"MIR137HG"			
"SND1-IT1"	"ADAM33"	"OR7D2"	"MSC-AS1"	"RNF139-AS1"			
"SLC39A5"	"RAB37"	"MAP1LC3C"	"PAK1"	"PTCH2"			
"PPL"	"LOC105375547"	"LOC100128288"	"VSNL1"	"ADAMTS15"			
"PNPLA3"	"ACADVL"	"ZNF793"	"FBLN7"	"CTA-407F11.6"			
"SMPDL3A"	"LOC105369228"	"PTK6"	"LOC100507194"	"SMYD3-IT1"			
"BEX3"	"BRD3OS"	"NEK5"	"MCM7"	"ELN"			
"AQP9"	"PRPF38B"	"TMEM213"	"ADCY10P1"	"MKRN5P"			
"CP"	"RIC8A"	"ATCAY"	"SCG2"	"GNB3"			
"SPRING1"	"ECRG4"	"ATP5I"	"HIP1"	"RP11-282K24.3"			
"AHR"	"DDX11L2"	"C1orf210"	"PVRIG"	"XXbac-BPG154L12.4"			
"TPPP"	"H2BC21"	"MAPRE1"	"RGS4"	"C1orf132"			
"SLC22A1"	"LOC114224"	"LRRN4CL"	"LINC00898"	"AF131215.3"			
"SERPINA1"	"TMEM185A"	"LOC100506085"	"SH2D5"	"RP11-53B2.2"			
"PPIL6"	"ARHGEF1"	"METTL8"	"CARTPT"	"RP11-981G7.6"			
"GLS2"	"TASL"	"MTRNR2L3"	"SAP25"	"CORO6"			
"NOP53"	"POM121L8P"	"RNF207"	"CCDC184"	"MEG3"			
"HEXIM1"	"GNG5"	"RABL5"	"LDLRAP1"	"DNAJC5G"			
"CLEC3B"	"ZNF747"	"TMEM236"	"ZNF652"	"LAMA3"			
"AZGP1"	"ACTR1A"	"JPX"	"KIF1C"	"RP11-16E23.4"			
"KCND3"	"TBC1D25"	"ZNF716"	"LIN28B-AS1"	"FAM153B"			
"ENSG00000269688"	"ATG13"	"TFDP2"	"PKMYT1"	"GET4"			
"PIPOX"	"NIPSNAP1"	"NCMAP"	"SH2D6"	"LINC00595"			
"ACSL1"	"FKBP1A"	"RAB42"	"GAP43"	"TPCN2"			
"FABP5"	"BRF2"	"ZNF818P"	"BEX1"	"RP11-367O10.1"			
"DEPDC7"	"TP53I3"	"ZC3H12D"	"DTHD1"	"HIF3A"			
"VNN1"	"PVALB"	"LOC440300"	"SPATC1"	"RP11-397O4.1"			
"SERPINF2"	"SH3BGRL3"	"PXMP4"	"SPTSSB"	"AL132709.8"			
"RIMKLA"	"CREB3L4"	"PAPL"	"ZBTB20-AS1"	"GOLGA8A"			
"FOS"	"NOTCH2NLA"	"ZFAS1"	"LINC00463"	"DSCAM-IT1"			
"CYP21A2"	"BRAF"	"PNPO"	"CRYM"	"C6orf163"			
"ANOS1"	"DHRS1"	"PTPRG-AS1"	"UCKL1-AS1"	"C10orf113"			
"ZFHX4"	"ERMAP"	"WDR1"	"BLID"	"FGF17"			
"RPS12P26"	"LOC105378577"	"SEPT14"	"OLFM3"	"MSS51"			
"ADORA2A-AS1"	"ELOVL7"	"BCAP31"	"LOC101926975"	"LINC00106"			
"RAB11FIP1"	"HIF1AN"	"ANKRD16"	"SERTAD4-AS1"	"RP11-572C21.1"			
"CAV2"	"H2BC8"	"SCD5"	"LOC102724484"	"RP11-359E3.4"			
"SMOC1"	"TNFAIP8L1"	"C17orf75"	"MORN3"	"C1RL-AS1"			
"APOM"	"SMIM24"	"FAM227A"	"LCN6"	"HLA-DRA"			
"SPRYD7"	"KIR2DL2"	"PNMA2"	"ZDHHC23"	"CATSPER2"			
"DMGDH"	"ECSIT"	"ZNF667"	"HMGCS1"	"GHRLOS"			
"HSD11B1"	"HOMER1"	"EMP2"	"SERPINF2"				
"PRG4"	"CAVIN3"	"RFPL1-AS1"	"TLDC2"				
"PROX1"	"SNN"	"SCAI"	"NEAT1"				
"HAL"	"TTC7B"	"KIAA1324"	"ITPKB-IT1"				
"HAMP"	"CNN2"	"PACS2"	"LOC101929715"				
"MLIP"	"SWI5"	"EXPH5"	"PLA2G4B"				
"AOX1"	"COL9A3"	"DYNC1LI1"	"LOC285762"				
"ENSG00000278896"	"ACD"	"DNAL1"	"ATAD3C"				
"SEMA5A"	"TMEM109"	"TRIM65"	"CYP4B1"				
"RPLP1"	"C8orf82"	"PRND"	"CALY"				
"CAVIN2"	"MRPL51"	"CHRNB1"	"LOC102723493"				
"CNDP1"	"MPV17"	"ZNF492"	"SYP"				
"ADH1C"	"VPS72"	"PGM5P2"	"TMPRSS5"				
"ZCCHC3"	"LOC105379362"	"BRIP1"	"KIF19"				
"LIPG"	"MIF4GD"	"IBA57"	"ARRDC2"				
"E2F3-IT1"	"TMEM212"	"POU5F1"	"MYOT"				
"NR5A2"	"SNRPN"	"SLC5A5"	"FZD10-AS1"				
"CYP3A5"	"PPP1R18"	"GDPD1"	"LLGL2"				
"XDH"	"DUSP14"	"PDP2"	"TUBB2A"				
"ANP32B"	"ZNF721"	"KCNJ5"	"PCA3"				
"PIK3AP1"	"SRXN1"	"PLEKHH2"	"MCHR1"				
"CCDC89"	"DET1"	"LRRC2"	"OLMALINC"				
"C8G"	"CTDSP1"	"LOC284950"	"SERTM1"				
"ENSG00000280365"	"ERAP2"	"C2orf91"	"CLDN16"				
"MTND5P32"	"TMEM241"	"AK3"	"PCP4L1"				
"C1R"	"TKTL1"	"GGT6"	"SLC10A1"				
"ENSG00000275481"	"SNAI3"	"SEC14L1"	"LYRM9"				
"ITIH4"	"HADHA"	"PGAM5"	"PTOV1-AS2"				
"CCDC115"	"RSRP1"	"KIAA1875"	"OPTC"				
"PLA2G2A"	"LOC100507642"	"SPG21"	"CPLX1"				
"PBXIP1"	"LPIN2"	"LOC100128338"	"VCAN-AS1"				
"COL28A1"	"MACF1"	"CYFIP2"	"FANCB"				
"SORD"	"GUSBP14"	"UBL5"	"HTR3B"				
"AMIGO2"	"PDLIM1"	"C1orf56"	"STYK1"				
"ACTG1P3"	"TNFSF12"	"CCNI"	"TUBB3"				
"SRD5A1"	"SSBP3-AS1"	"SGCB"	"OR7A5"				
"PCSK6"	"PRSS33"	"ARHGEF26-AS1"	"LINC01168"				
"ALDH8A1"	"TAL1"	"FPR2"	"LOC728084"				
"PPP1R14A"	"GCHFR"	"ARF1"	"ARL4D"				
"BRF2"	"GPS2"	"OPA3"	"NRON"				
"ALDH1L1"	"MID1IP1"	"SLC4A8"	"MIR6717"				
"MT-RNR2"	"POLR2J"	"AARS2"	"PSG8"				
"MUC3A"	"CPTP"	"LOC283299"	"ATOH7"				
"ZNF704"	"CAPNS1"	"LIN28A"	"MAP4K4"				
"RIDA"	"DEFB108B"	"MTRNR2L8"	"HIF3A"				
"SEC24D"	"DNAJB12"	"NEK2"	"KMO"				
"LIPC"	"ZSWIM3"	"TMEM136"	"BAALC-AS1"				
"SERPINA3"	"GOLGA8IP"	"NR1H2"	"LINCR-0002"				
"MTSS1"	"CHID1"	"MYLK3"	"CXCR1"				
"PDSS1"	"LIPA"	"CA5B"	"KCNB2"				
"PATL1"	"SPARC"	"C3orf72"	"C6orf223"				
"HSD17B2"	"RANGRF"	"CRX"	"LINC01007"				
"ABAT"	"LOC101927770"	"FAM73A"	"LINC00460"				
"PHAF1"	"LINC01809"	"MANEAL"	"LOC100288637"				
"KANK2"	"P2RX1"	"LINC00294"	"HES5"				
"ADAMTS9-AS1"	"KPNA1"	"WDR92"	"LOC100130548"				
"MDH1B"	"SLC29A3"	"FOXK1"	"SAMD11"				
"ENSG00000243696"	"POLDIP2"	"TSTD3"	"GABRA1"				
"MYADM"	"ARSG"	"SIGLEC8"	"GAD1"				
"TMEM176A"	"CHI3L2"	"LOC728606"	"GFRA2"				
"ANXA3"	"WIF1"	"ZNF714"	"SCHLAP1"				
"SCARNA21"	"LOC729732"	"WDR17"	"GAD2"				
"ASGR1"	"MMP24OS"	"MAP7D3"	"RIIAD1"				
"CHCHD6"	"DESI1"	"TYW5"	"LRRC73"				
"PPP1R1A"	"GPX7"	"AQP6"	"FAM222A-AS1"				
"CHI3L1"	"ASB6"	"GLUD1P7"	"IGF1"				
"ENSG00000259071"	"FBXW12"	"TMEM130"	"ADAMTS3"				
"RPL23AP34"	"SHISA4"	"LARS2-AS1"	"SLC23A3"				
"HELLPAR"	"COX2"	"PPARA"	"MRGPRF"				
"ACSM5"	"H2AC11"	"DZIP3"	"FREM3"				
"TBX15"	"PI4KB"	"MTX3"	"LINC01164"				
"LTBP4"	"RETREG2"	"LOC728558"	"BOK"				
"CDH2"	"SLC9B1"	"LOC100287792"	"LINC01445"				
"TNXB"	"OR52K3P"	"C7orf55"	"LINC00601"				
"UPK3B"	"ND4"	"UTY"	"LOC105378385"				
"ETV5"	"MAP1S"	"IFITM3"	"QDPR"				
"KLKB1"	"RILP"	"PCDHB9"	"KIRREL3-AS3"				
"PLIN1"	"YY1AP1"	"CD93"	"PRSS8"				
